objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
588015507655688198,352.95334837,-1.11151362,19.029322,17.220329,16.237997,15.748908,15.323854,3325,41,1,61,6.109825
588015509265711217,351.6149679,0.16096541,20.072716,18.025463,17.004843,16.546482,16.143593,3325,41,4,52,3.715554
588015508726677647,346.69469183,-0.32242446,17.519299,15.640721,14.874276,14.46858,14.132573,3325,41,3,19,13.270603
588015508726677697,346.77146537,-0.40916119,19.592201,17.905823,17.11013,16.71381,16.437103,3325,41,3,19,5.897521
588015508726743153,346.87661709,-0.27727962,19.24865,18.129765,17.73288,17.451105,17.399565,3325,41,3,20,5.412229
588015507656671461,355.22851719,-1.07412321,19.796391,18.217403,17.373575,16.940289,16.636417,3325,41,1,76,7.790042
588015507656867916,355.66066032,-1.05339236,20.729076,18.508856,17.418053,16.984455,16.609669,3325,41,1,79,4.664233
588015507656933476,355.80441436,-1.17906232,18.447392,17.410013,17.069901,16.743305,16.670292,3325,41,1,80,6.558858
588015507656933479,355.82581729,-1.15685479,20.5357,18.326962,17.199083,16.728954,16.365284,3325,41,1,80,4.711714
588015507656933501,355.87977625,-1.22411689,18.233122,17.041374,16.52219,16.182455,15.997779,3325,41,1,80,7.017976
588015508727070836,347.61726991,-0.41514797,20.522644,18.506275,17.550526,17.141972,16.829424,3325,41,3,25,3.730748
588015509265711234,351.66190807,0.17572002,20.005617,18.408964,17.585621,17.179787,16.90316,3325,41,4,52,3.191572
588015507657392251,356.91961282,-1.09185768,17.565456,16.434647,15.912149,15.614271,15.398643,3325,41,1,87,12.116728
588015509267349562,355.32262934,0.03692826,20.061974,18.624907,17.494337,16.924225,16.621464,3325,41,4,77,7.412791
588015508727136467,347.73618569,-0.29788784,19.915499,18.33313,17.221394,16.742792,16.402403,3325,41,3,26,5.833515
588015509267349634,355.45792534,0.04214487,18.463865,17.259689,16.713486,16.350197,16.138477,3325,41,4,77,5.079702
588015508727267477,348.07852535,-0.30388737,19.409479,17.725327,16.750153,16.293407,15.913875,3325,41,3,28,7.326987
588015508727464064,348.4429616,-0.36543166,20.469391,18.668819,17.616049,17.202072,16.848585,3325,41,3,31,3.867705
588015508727464089,348.51784475,-0.30233173,18.636421,17.305988,16.583126,16.185513,15.872914,3325,41,3,31,6.261831
588015509265449109,351.07779393,0.07114823,20.350924,18.453161,17.550526,17.113396,16.799948,3325,41,4,48,2.912491
588015508727922743,349.53498172,-0.39048994,16.203026,14.242033,13.375878,12.933593,12.596163,3325,41,3,38,15.844818
588015508727988324,349.71172522,-0.41055301,18.637888,17.423964,16.733973,16.338314,16.090469,3325,41,3,39,6.10363
588015508727988370,349.71280761,-0.26114579,19.672716,18.442682,17.646372,17.21726,16.935364,3325,41,3,39,5.46328
588015509268463735,357.92998357,0.18067298,19.981817,18.301756,17.335978,16.853571,16.466564,3325,41,4,94,6.250993
588015509264531574,348.9224394,0.10154314,18.288513,16.359377,15.419453,14.948174,14.62313,3325,41,4,34,9.553023
588015509266104523,352.60049124,0.01797892,19.843876,18.44981,17.486223,17.048515,16.800308,3325,41,4,58,6.23793
588015509266169862,352.63348525,0.08106508,15.639619,13.673148,12.832977,12.396467,12.086368,3325,41,4,59,15.858359
588015508728905888,351.84049634,-0.39127639,20.189487,18.464483,17.431841,16.95199,16.60771,3325,41,3,53,4.217272
588015508729036893,352.1251826,-0.22322116,19.910921,17.90344,16.876894,16.435848,16.028967,3325,41,3,55,3.147851
588015509265907838,352.14987716,0.10069812,19.060015,17.759844,17.066225,16.653696,16.420835,3325,41,4,55,3.961303
588015508191576203,350.74054361,-0.6711502,19.831585,18.318914,17.434479,16.999718,16.686462,3325,41,2,46,2.785692
588015509805531286,358.39876211,0.43982727,19.579414,18.240484,17.579315,17.250654,16.980991,3325,41,5,97,4.730335
588015509265252506,350.62696317,0.067485,20.226725,18.51532,17.535677,17.100185,16.756493,3325,41,4,45,5.497967
