objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
587731185668849933,4.17437353,-0.42515994,19.857098,17.790968,16.74194,16.272409,15.878161,2662,40,2,310,4.547747
587731185668849910,4.16851771,-0.44337856,20.122755,18.197657,17.358789,16.961395,16.589231,2662,40,2,310,3.508567
587731185668849868,4.13896177,-0.55993215,20.475243,18.656958,17.575783,17.127256,16.745726,2662,40,2,310,3.630394
587731185668849851,4.1209109,-0.60740115,18.005795,15.933458,14.98592,14.542152,14.156814,2662,40,2,310,9.946392
587731185668849843,4.10723351,-0.43433553,20.232498,18.311567,17.342819,16.863031,16.427597,2662,40,2,310,4.231377
587731185668849835,4.09073545,-0.54594074,20.271255,18.218014,17.182173,16.747799,16.378256,2662,40,2,310,4.055125
587731185668849823,4.08502276,-0.57264844,20.22727,18.354212,17.427198,17.036325,16.681402,2662,40,2,310,3.689226
587731185668849799,4.06100324,-0.43526244,18.461313,17.064266,16.436954,16.070532,15.778246,2662,40,2,310,5.87676
587731185668849769,4.15384116,-0.50224494,19.793697,17.923798,16.840261,16.398338,16.02873,2662,40,2,310,5.160642
587731185667211409,0.45380443,-0.60161446,19.809713,18.200708,17.276627,16.846102,16.454002,2662,40,2,285,6.038304
587731185667211384,0.41743799,-0.56406278,20.990049,18.873745,17.391552,16.837473,16.464479,2662,40,2,285,6.028476
587731185667145775,0.1881447,-0.49920841,18.937712,17.93486,17.537462,17.211922,17.161024,2662,40,2,284,5.20953
587731185136369825,14.23320245,-0.99676934,19.439526,17.674274,16.859837,16.450083,16.146847,2662,40,1,377,4.229722
587731185136369819,14.21499086,-1.00721172,19.274845,17.538303,16.688288,16.297937,16.010883,2662,40,1,377,4.646135
587731185136369818,14.21185883,-1.02708381,19.982063,18.465889,17.396275,16.893002,16.531467,2662,40,1,377,3.329812
587731185136369815,14.20768515,-0.86852617,20.759546,18.742365,17.593264,17.139511,16.771782,2662,40,1,377,3.769098
587731185136369812,14.19762415,-0.92006184,19.233536,17.361357,16.496244,16.099873,15.780551,2662,40,1,377,5.31802
587731185136369804,14.185622,-0.87484043,18.405159,16.5429,15.707148,15.309479,15.014901,2662,40,1,377,8.146214
