objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
588017703492583537,238.38781556,7.37640262,19.557165,17.769808,16.746418,16.294374,15.947966,3836,41,3,593,5.983597
587735490823061697,226.95192189,42.08356924,20.541628,18.696905,17.660866,17.220646,16.878954,3664,40,5,102,5.128389
587742014374346985,225.35793649,17.91078177,19.679586,17.576839,16.50061,16.044693,15.644874,5183,40,4,603,5.682405
588017704021459090,220.21182038,10.55078481,17.8599,16.08975,15.22625,14.784279,14.464212,3836,41,4,471,9.779593
588017704021852241,221.06093244,10.41121821,17.584595,15.645705,14.731381,14.274215,13.946773,3836,41,4,477,9.202333
588017704022573305,222.76334253,10.29129202,18.117226,16.254766,15.405478,15.010831,14.705133,3836,41,4,488,6.583533
588017704022638751,222.81493572,10.27460931,20.415319,18.430779,17.35676,16.910805,16.522362,3836,41,4,489,3.75437
588017704023294306,224.41884269,9.99614707,17.570681,15.701396,14.879508,14.471471,14.201267,3836,41,4,499,10.093523
588017704023490816,224.80327001,9.91649161,20.557343,18.706381,17.716053,17.226307,16.99909,3836,41,4,502,3.631959
588017704023621745,225.13718326,9.91282347,18.452065,16.389851,15.43473,14.9863,14.65475,3836,41,4,504,6.905097
588017704023884007,225.78101185,9.90572442,19.144644,17.24478,16.249077,15.776055,15.382465,3836,41,4,508,8.264432
588017704024277265,226.65058856,9.64949328,17.042007,15.103848,14.231391,13.804628,13.499767,3836,41,4,514,13.476302
588017704024342910,226.81441885,9.70741225,20.300848,18.347977,17.041508,16.511959,16.135069,3836,41,4,515,4.442905
588017704024539419,227.22231933,9.68842085,20.82515,19.095453,17.631281,17.109877,16.762388,3836,41,4,518,5.096586
587742014908006600,217.94019279,20.01018248,18.208139,16.202251,15.167195,14.711894,14.389121,5183,40,5,554,14.964363
588017704026177793,230.9486294,8.98644112,17.747026,15.897606,15.069278,14.674538,14.375428,3836,41,4,543,7.161473
588017704026177832,230.98991728,9.02506194,18.506371,16.737123,15.962901,15.587857,15.295053,3836,41,4,543,9.418869
588017704026439806,231.59350936,8.9873594,17.10869,15.187829,14.338031,13.923112,13.608366,3836,41,4,547,7.884247
588017704027422973,233.80299606,8.61358477,20.948099,19.140987,17.67992,17.162485,16.76088,3836,41,4,562,5.209582
588017704028537178,236.36491969,8.1134057,17.814726,15.860558,14.923738,14.476114,14.141009,3836,41,4,579,10.286218
588017704029847981,239.3819146,7.74962589,17.615572,15.754698,14.868073,14.440964,14.126098,3836,41,4,599,12.768294
587742014912790710,229.02825444,17.39359344,18.676556,16.784334,15.870438,15.452041,15.147065,5183,40,5,627,5.384113
588017704031355198,242.74160185,7.0270849,20.073568,18.222576,16.958324,16.451591,16.056606,3836,41,4,622,5.263127
