objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
587722981741363323,182.97011203,-1.21953724,18.395714,16.533554,15.649889,15.214793,14.860472,752,40,1,263,7.312633
587722981744771215,190.73590904,-1.18943473,20.676802,18.580244,17.413071,16.958296,16.569254,752,40,1,315,4.373768
587722981744836769,190.85806371,-1.17659777,19.829123,17.606884,16.365614,15.867826,15.488529,752,40,1,316,9.087304
587722981745098894,191.50576289,-1.07320013,18.714952,16.799097,15.936299,15.523222,15.237784,752,40,1,320,6.444396
587722981746344041,194.24972031,-1.12907009,21.119774,19.03857,17.631893,17.1124,16.770082,752,40,1,339,4.9517
587722981747589302,197.16103433,-1.21960911,19.34803,17.427605,16.365932,15.940209,15.595599,752,40,1,358,4.81483
587722981748572353,199.45458759,-1.20375779,19.783295,17.719561,16.588333,16.129637,15.756462,752,40,1,373,6.95506
587722981748769011,199.9206001,-1.08313746,20.617964,18.584736,17.613283,17.188734,16.896463,752,40,1,376,3.31331
587722981748899977,200.13692861,-1.18657491,20.526722,18.46244,17.131891,16.633757,16.295193,752,40,1,378,5.419078
587722981749358673,201.25151563,-1.1008647,19.607229,17.562469,16.521955,16.087748,15.72697,752,40,1,385,4.728262
587722981749555394,201.69044314,-1.08594997,18.601154,16.666193,15.755903,15.351252,15.049165,752,40,1,388,9.080653
587722982278037595,182.46333405,-0.67203035,19.686329,17.607271,16.325495,15.841145,15.464828,752,40,2,260,9.167475
587722982278758580,184.20460114,-0.7417948,17.739017,15.760312,14.816797,14.392037,14.050961,752,40,2,271,12.737083
587722982278824128,184.25396136,-0.72603556,21.241747,19.160723,17.704195,17.197126,16.806677,752,40,2,272,4.531841
587722982279872662,186.73602934,-0.68326081,19.843685,17.883011,16.68527,16.240765,15.875113,752,40,2,288,7.365518
587722982281642176,190.78950114,-0.78370511,20.055687,17.949873,16.806654,16.339132,15.947299,752,40,2,315,7.438716
587722982288785718,207.09127461,-0.68267987,21.044476,18.986206,17.597357,17.094395,16.709993,752,40,2,424,4.557898
587722982289965171,209.67523388,-0.65800802,18.935101,16.90634,15.782746,15.321523,14.950011,752,40,2,442,8.177915
587722982290620671,211.29629494,-0.83389408,19.403662,17.560368,16.576155,16.143944,15.786447,752,40,2,452,6.010319
587722982290948308,212.00218596,-0.82181131,17.858311,15.84691,14.935768,14.498275,14.135969,752,40,2,457,7.847497
587722982291144933,212.3949246,-0.81995148,20.225643,18.288919,17.339931,16.930115,16.584393,752,40,2,460,4.349224
587722982291734550,213.75262592,-0.79695438,16.900972,14.931221,14.058981,13.626197,13.309146,752,40,2,469,8.888856
587722982292455684,215.45734821,-0.77746188,18.01215,16.127516,15.22819,14.812065,14.442107,752,40,2,480,7.755621
587722982816022623,185.04392798,-0.27029442,20.920071,18.910192,17.695648,17.224617,16.847912,752,40,3,277,5.888855
587722982816350375,185.81041833,-0.25614943,20.174915,18.010798,16.853344,16.384052,16.023182,752,40,3,282,8.032429
587722982816350395,185.8553082,-0.36318494,20.278015,18.391399,17.332979,16.87294,16.496653,752,40,3,282,3.724544
587722982816415892,185.94287645,-0.38257495,19.886913,17.846035,16.700344,16.227631,15.832625,752,40,3,283,4.258914
587722982819102985,192.07107816,-0.26103939,18.121656,16.133469,15.162755,14.753186,14.399958,752,40,3,324,8.399827
587722982823231625,201.44924018,-0.24835933,18.987926,17.002071,16.057497,15.63976,15.295085,752,40,3,387,6.644789
587722982826639571,209.24257616,-0.30265797,19.360054,17.483231,16.411247,15.993055,15.633149,752,40,3,439,5.968788
587722982827884782,212.11863778,-0.23097357,20.049843,18.417889,17.330969,16.839035,16.493486,752,40,3,458,5.318497
587722982828146880,212.70339287,-0.31123247,20.191544,18.179541,17.068758,16.609961,16.214514,752,40,3,462,3.962625
587722982828605660,213.74052453,-0.34962141,19.273331,17.186562,15.994028,15.488585,15.081988,752,40,3,469,7.917152
587722982828671222,213.96287734,-0.24818355,20.562449,18.817823,17.626049,17.161377,16.830574,752,40,3,470,3.455774
587722982829785333,216.50016885,-0.30502914,19.269411,17.19986,16.086679,15.636388,15.285533,752,40,3,487,7.744405
587722983356039287,192.15620118,0.05931918,20.797913,19.089691,17.706699,17.205849,16.876989,752,40,4,325,4.01884
587722983356039315,192.20850723,0.11645456,19.133194,17.251822,16.351835,15.938935,15.608897,752,40,4,325,4.681677
587722983358529569,197.87486551,0.14936759,17.824068,15.936895,15.06752,14.652872,14.34046,752,40,4,363,7.128786
587722983360364713,202.04846081,0.05327429,18.282028,16.515574,15.68848,15.296251,14.995185,752,40,4,391,5.812245
587722983361937655,205.73684065,0.05644045,19.260462,17.295021,16.348982,15.928848,15.605468,752,40,4,415,5.032704
587722983362134277,206.11806618,0.02966031,19.657118,17.622639,16.573616,16.105654,15.759717,752,40,4,418,5.924642
587722983891861671,189.87360398,0.42281558,20.399384,18.653582,17.563673,17.130671,16.776443,752,40,5,309,6.382587
587722983892910212,192.20978544,0.49682862,19.164249,17.21648,16.168428,15.74564,15.381668,752,40,5,325,5.270856
587722983893041227,192.58043447,0.59096196,19.359356,17.423849,16.401758,15.931469,15.547558,752,40,5,327,7.312738
587724648184742035,183.30143597,-3.43327003,20.393147,18.399048,17.317205,16.897114,16.591496,1140,40,1,203,4.786921
587724648185069663,183.99313099,-3.46657311,18.744247,16.606554,15.525,15.054119,14.674154,1140,40,1,208,8.989853
587724648190312560,196.00979061,-3.33956779,18.35799,16.382374,15.416125,15.013565,14.657748,1140,40,1,288,6.976624
587724648722464836,185.28406727,-3.04464606,16.921625,15.143017,14.362544,13.949476,13.642989,1140,40,2,216,7.95622
587724648722661474,185.66872587,-2.92645177,18.715794,16.761402,15.808372,15.387744,15.049329,1140,40,2,219,6.170062
587724648723316912,187.23582299,-3.091195,20.29351,18.277824,16.994251,16.514425,16.102776,1140,40,2,229,8.869521
587724648725151906,191.44716875,-2.95714916,20.218676,18.130823,16.897022,16.416868,16.068769,1140,40,2,257,5.16318
587724648727249031,196.133503,-3.01910367,18.274738,16.1915,15.229522,14.795115,14.453176,1140,40,2,289,9.950346
587724648729149630,200.56723503,-2.92050984,18.322624,16.430834,15.568642,15.16526,14.834243,1140,40,2,318,5.809711
587724649258680358,183.73118302,-2.67260492,18.311716,16.396168,15.362966,14.867411,14.478657,1140,40,3,206,15.342332
587724649259466766,185.51432738,-2.61673222,17.020765,15.16201,14.359746,13.957204,13.652402,1140,40,3,218,12.399371
587724649263005882,193.6455774,-2.57011523,19.004866,16.99852,15.95939,15.526131,15.128052,1140,40,3,272,8.591057
587724649263857833,195.58952728,-2.50169735,18.186384,16.344572,15.409077,15.001802,14.659053,1140,40,3,285,6.813998
587724649263857841,195.59262847,-2.61113555,19.715204,18.058601,17.258366,16.90764,16.594131,1140,40,3,285,3.829746
587724649263923312,195.69311106,-2.64701159,19.203382,17.162096,16.251213,15.823656,15.47784,1140,40,3,286,8.18532
587724649263988821,195.84930825,-2.46521146,18.681892,16.849928,15.917757,15.496408,15.155553,1140,40,3,287,8.135138
587724649796206711,185.21700937,-2.15625802,18.425308,16.51277,15.61871,15.206004,14.882663,1140,40,4,216,5.998391
587724649798566090,190.69305726,-2.10473038,19.264622,17.24164,16.170122,15.712244,15.352304,1140,40,4,252,6.646033
587724649800532063,195.14274369,-2.13407718,18.014671,16.011326,15.047203,14.589559,14.255189,1140,40,4,282,11.533392
587724649803022358,200.82297644,-2.15108424,17.361767,15.440278,14.566597,14.126122,13.759205,1140,40,4,320,9.954218
587724650333929610,187.28179644,-1.7529769,19.627205,17.676407,16.590952,16.150513,15.790096,1140,40,5,229,4.475437
587724650335174826,190.06586294,-1.66483409,20.192904,18.302607,17.243954,16.78816,16.414734,1140,40,5,248,4.463033
587724650335437001,190.71135492,-1.8141659,18.080414,16.104332,15.157827,14.716265,14.385527,1140,40,5,252,10.904954
587724650335764572,191.46805395,-1.68023758,16.916277,14.921541,14.0201,13.587068,13.256416,1140,40,5,257,10.283472
587724650336092314,192.13313807,-1.82813032,19.338509,17.979046,17.004602,16.524851,16.208252,1140,40,5,262,4.787417
587724650336092348,192.2259061,-1.68029292,18.889505,16.960743,15.986764,15.534197,15.184595,1140,40,5,262,7.073225
587724650336157887,192.30867413,-1.68740011,18.362389,16.375042,15.397808,14.955639,14.600976,1140,40,5,263,7.648935
587724650336223359,192.40871589,-1.76763996,18.828442,16.859833,15.913247,15.481818,15.153579,1140,40,5,264,4.981677
587724650338254979,197.14559732,-1.74890518,18.626772,16.715216,15.791555,15.346364,14.990246,1140,40,5,295,5.828099
587724650339827905,200.75876858,-1.711392,18.163612,16.201141,15.238797,14.794398,14.472323,1140,40,5,319,15.397022
587724650870997115,187.62362045,-1.32423607,20.527693,18.738014,17.635036,17.186731,16.859684,1140,40,6,232,4.021687
587724650871783568,189.42310506,-1.3605944,18.715887,16.800034,15.629338,15.155252,14.777318,1140,40,6,244,12.383286
587724650871849101,189.63225954,-1.42518862,19.552309,18.224573,17.29579,16.845804,16.529745,1140,40,6,245,5.042185
587724650872963209,192.19479957,-1.3326452,20.604874,18.609457,17.345991,16.847427,16.492195,1140,40,6,262,4.550336
587724650873094280,192.47906932,-1.35678788,18.261732,16.316216,15.368959,14.929445,14.567405,1140,40,6,264,11.381766
587725039019294859,182.55937446,-3.66564657,19.76828,17.717358,16.483284,15.985699,15.619691,1231,40,1,89,8.700303
587725039019294904,182.65444952,-3.72769227,19.921797,17.939209,16.624325,16.131407,15.76733,1231,40,1,89,9.112703
587725039019688015,183.41039132,-3.56105166,20.643597,18.774698,17.608606,17.120888,16.761873,1231,40,1,95,5.106865
587725039020933165,186.35872184,-3.70827463,18.531996,16.518908,15.559165,15.101504,14.759574,1231,40,1,114,8.038692
587725039021195443,186.99882382,-3.74634352,20.935225,18.684771,17.440491,16.911947,16.561342,1231,40,1,118,4.879672
587725039021392005,187.31195511,-3.61547744,17.837374,15.895897,14.966648,14.543047,14.218197,1231,40,1,121,9.991499
587725039021981761,188.7618518,-3.67862423,17.434002,15.505362,14.61531,14.190578,13.871245,1231,40,1,130,12.09876
587725039022375062,189.67684662,-3.62190438,19.805761,17.665754,16.585817,16.122192,15.743485,1231,40,1,136,7.553193
587725039023095971,191.27071102,-3.54091735,21.503769,18.960781,17.693581,17.157852,16.81745,1231,40,1,147,4.691401
587725039024799904,195.16192239,-3.58806259,20.490902,18.531214,17.420584,16.961277,16.601149,1231,40,1,173,5.213487
587725039024865495,195.33769161,-3.56666603,19.080187,17.168692,16.214699,15.797409,15.439752,1231,40,1,174,4.937928
587725039024865520,195.37084572,-3.52857671,20.464315,18.786955,17.530567,17.037247,16.690739,1231,40,1,174,5.026684
587725039556296821,182.87201597,-3.19058737,18.958618,17.19879,16.356443,15.950077,15.605174,1231,40,2,91,9.164293
587725039556296878,182.88898887,-3.20092367,20.910509,18.729631,17.291718,16.766954,16.332085,1231,40,2,91,8.273883
587725039556886688,184.18806811,-3.20645557,18.737955,16.80139,15.871202,15.449199,15.111602,1231,40,2,100,6.214918
587725039560294546,191.98768357,-3.20112531,20.521873,18.328234,17.074736,16.570724,16.229977,1231,40,2,152,6.806041
587725039560491033,192.43971481,-3.21204676,18.321049,16.37715,15.490065,15.074457,14.74351,1231,40,2,155,8.914238
587725039560556750,192.61612145,-3.12752713,20.284981,18.105951,16.823965,16.325163,15.931798,1231,40,2,156,6.999874
587725039562522796,197.14405812,-3.16755985,20.404642,18.127851,16.804659,16.301239,15.952991,1231,40,2,186,9.461992
587725039564030047,200.56117553,-3.08818501,17.013329,15.126464,14.256272,13.845494,13.534652,1231,40,2,209,10.732869
587725040092774589,182.04435664,-2.84277432,18.908669,17.003645,16.057995,15.617568,15.257377,1231,40,3,85,7.736513
587725040093298701,183.16356111,-2.72125053,17.378897,15.499725,14.639956,14.234938,13.863609,1231,40,3,93,5.741529
587725040093954141,184.63622955,-2.89352694,20.301785,18.520144,17.578976,17.165489,16.819971,1231,40,3,103,4.01223
587725040094871717,186.84543751,-2.75186488,17.939823,16.117561,15.301318,14.912396,14.582664,1231,40,3,117,8.167899
587725040096641055,190.78696298,-2.76232873,18.739658,16.880554,16.020313,15.622896,15.298132,1231,40,3,144,6.288658
587725040097165463,191.97335262,-2.80734709,19.7113,17.654741,16.419586,15.923162,15.519526,1231,40,3,152,9.882158
587725040097165552,192.06245756,-2.7402776,19.36343,17.494236,16.504375,16.075775,15.707902,1231,40,3,152,4.498933
587725040097427630,192.65781231,-2.74762373,20.626774,18.686462,17.541275,17.069782,16.739233,1231,40,3,156,3.335278
587725040098738222,195.67855535,-2.70867431,19.311436,17.409954,16.475134,16.037462,15.703401,1231,40,3,176,5.574236
587725040100638887,199.93476594,-2.73930228,21.053631,19.143085,17.707218,17.12993,16.776213,1231,40,3,205,3.896954
587725040630497417,183.86495775,-2.42956047,18.005331,16.064688,15.096541,14.653321,14.300676,1231,40,4,98,9.599034
587725040631611489,186.54680051,-2.36062885,16.804207,15.073664,14.310066,13.938741,13.650537,1231,40,4,115,15.274787
587725040632332417,188.10635858,-2.43481844,19.215597,17.477646,16.562212,16.129354,15.775264,1231,40,4,126,6.503352
587725040633905266,191.69623682,-2.29365893,18.430857,16.468769,15.531525,15.103413,14.751784,1231,40,4,150,6.842927
587725041166647407,182.29032361,-2.03556916,20.288294,18.135078,16.877827,16.393684,16.034426,1231,40,5,87,9.228444
587725041167237216,183.6045476,-2.05604197,18.041323,16.136721,15.233664,14.806023,14.502934,1231,40,5,96,8.932729
587725041170317331,190.62325162,-1.87513222,20.119396,18.203115,17.03116,16.580582,16.216166,1231,40,5,143,8.316595
587725041171038336,192.24994997,-1.92702559,18.688148,16.713797,15.761865,15.339101,15.008051,1231,40,5,154,7.366061
587725041171300558,192.96761438,-1.96757642,20.910139,18.693499,17.40764,16.924868,16.552319,1231,40,5,158,6.190611
587725041171955782,194.47626985,-1.98102121,19.293123,17.27113,16.061218,15.569864,15.231572,1231,40,5,168,9.159793
587725041707647065,191.69765122,-1.63329663,20.596437,18.232876,17.109596,16.586376,16.24077,1231,40,6,150,9.020313
587725041708892327,194.53755373,-1.61195481,19.264004,17.472784,16.625265,16.229042,15.923164,1231,40,6,169,3.823979
587725041709613197,196.16824877,-1.44770594,19.153357,17.25029,16.309275,15.875582,15.537021,1231,40,6,180,10.082129
587725041710071962,197.20762383,-1.56819691,20.197258,18.102488,17.170427,16.743116,16.378277,1231,40,6,187,3.351251
587725550140063863,192.34225568,66.20399249,20.365517,18.508511,17.436436,16.991861,16.63743,1350,40,1,389,3.096828
587725550140260409,193.38627802,66.0873401,20.220921,18.175245,16.712036,16.17128,15.849625,1350,40,1,392,9.329304
587725550140391574,194.31468327,66.0978318,21.179489,19.183981,17.740833,17.218498,16.860523,1350,40,1,394,3.870395
587725550141898913,202.31241302,65.31237204,19.907656,18.093708,17.172897,16.765669,16.457043,1350,40,1,417,4.337775
587725550142095465,203.48871468,65.1979204,20.358429,18.137459,16.958241,16.490648,16.117651,1350,40,1,420,5.219547
587725550144454793,214.97864944,63.16025746,17.748468,15.832268,14.911362,14.468758,14.17481,1350,40,1,456,12.464398
587725550144651394,215.74946891,63.07091489,19.718706,17.691311,16.609951,16.163624,15.792546,1350,40,1,459,5.69832
587725550675689635,185.24742831,66.66842096,20.491619,18.528172,17.139912,16.616383,16.27054,1350,40,2,370,8.645996
587725550675755071,185.70473076,66.86258301,16.376461,14.722492,14.041465,13.715581,13.475643,1350,40,2,371,9.092995
587725550676672761,190.99027651,66.60049993,18.231152,16.266079,15.313303,14.864394,14.519873,1350,40,2,385,8.829821
587725550679294082,205.45092989,65.441448,20.986746,18.769712,17.434807,16.963017,16.615995,1350,40,2,425,4.507736
587725550681391257,215.69537156,63.5083855,19.441471,17.545391,16.442154,16.000624,15.594487,1350,40,2,457,9.049964
587725550681587839,216.45153799,63.30200353,19.830896,17.986704,16.994843,16.541187,16.217693,1350,40,2,460,4.578814
587725551212036141,182.17894147,67.21358606,20.080564,18.134476,17.056559,16.618149,16.2735,1350,40,3,362,4.154474
587725551213019279,187.95563212,67.11147076,19.232712,17.444202,16.420277,15.961937,15.603294,1350,40,3,377,3.815049
587725551214985330,199.20627701,66.46378094,19.52083,17.526398,16.450531,16.010086,15.592694,1350,40,3,407,7.733421
587725551215247526,200.88061347,66.40627456,17.622774,15.742541,14.819173,14.380696,14.046761,1350,40,3,411,10.92436
587725551215968333,204.78817698,65.96954089,18.224798,16.254654,15.337007,14.911147,14.59191,1350,40,3,422,7.966702
587725551215968403,204.59844317,65.94460967,17.893467,16.073521,15.190437,14.765625,14.457452,1350,40,3,422,9.960743
587725551216951420,209.72268797,65.21068393,18.864645,17.038546,16.139509,15.762687,15.429111,1350,40,3,437,6.979141
587725551217082434,210.30541479,65.0226104,19.124338,17.226437,16.293364,15.864416,15.530719,1350,40,3,439,6.924792
587725551218065569,214.98210219,64.08890967,18.894598,17.004494,15.998814,15.573985,15.228448,1350,40,3,454,6.68396
587725551750742113,192.94073364,67.50679761,19.67156,17.591093,16.338131,15.852295,15.468461,1350,40,4,390,8.661818
587725551753691290,209.57739509,65.71302111,20.678528,18.743036,17.515572,17.041649,16.764587,1350,40,4,435,3.643604
587725552285974645,183.26788253,68.00064144,21.185349,18.986198,17.614706,17.117357,16.810347,1350,40,5,365,4.770355
587725552286564504,186.79082497,68.06570335,18.563,16.641867,15.596369,15.16875,14.808378,1350,40,5,374,11.469225
587725552286630000,187.25591394,68.01798084,19.274879,17.285513,16.259266,15.800966,15.459854,1350,40,5,375,8.222116
