objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
587722982295929067,223.2906243,-0.63910834,18.400974,17.229445,16.756744,16.422049,16.240505,752,40,2,533,7.151044
587722982295994753,223.54567026,-0.77011907,19.397739,17.79397,17.070465,16.687479,16.41444,752,40,2,534,7.639742
587722982300058102,232.82639186,-0.71539577,18.974529,17.267357,16.563543,16.225445,15.927234,752,40,2,596,18.021053
587722982302286353,237.85155423,-0.65197894,19.79331,18.204334,17.404591,16.919086,16.570988,752,40,2,630,9.850266
587722982832144786,221.93192725,-0.21319587,19.467297,18.058393,17.265388,16.877863,16.564276,752,40,3,523,5.998146
587722982832537841,222.72888595,-0.36901112,19.321316,18.099869,17.618839,17.391043,17.155199,752,40,3,529,7.565728
587722982832603571,222.91869764,-0.30735352,19.937429,18.321217,17.416903,16.912575,16.521673,752,40,3,530,6.637419
587722982832668754,223.04597024,-0.25610106,17.143158,15.234582,14.37181,13.946806,13.577475,752,40,3,531,14.956243
587722982832865541,223.47698076,-0.31627677,18.627054,17.209982,16.550323,16.197823,15.925438,752,40,3,534,7.386123
587722982833062291,224.02348138,-0.26188738,18.766657,16.880833,15.945028,15.504274,15.160475,752,40,3,537,8.236679
587722982833127790,224.12526463,-0.26642099,19.887445,18.59008,17.882978,17.474716,17.198315,752,40,3,538,6.207425
587722983370653979,225.58744393,0.18482869,19.159611,17.74276,17.127884,16.753901,16.517862,752,40,4,548,7.528703
587722983370719473,225.74020057,0.14670718,18.838894,17.508009,17.019621,16.662334,16.627462,752,40,4,549,7.328251
587722983372161650,229.10908135,0.11874997,19.610552,18.356668,17.618973,17.200155,16.935772,752,40,4,571,3.547799
587722983372882240,230.6422116,3.55551E-3,19.246799,17.893099,17.13592,16.704605,16.461836,752,40,4,582,6.105235
587722983373406487,231.82462425,0.06139831,19.309305,18.014648,17.408724,17.073942,16.859386,752,40,4,590,7.159975
587722983375438342,236.4652622,0.03521783,19.964212,17.862219,17.047422,16.59737,16.282595,752,40,4,621,11.608934
587722983376093603,238.02026138,0.13995902,19.252319,17.504898,16.699535,16.241613,15.901345,752,40,4,631,11.039367
587725489986404551,252.47443267,62.84202698,19.063036,17.577732,16.866707,16.450323,16.085379,1336,40,1,21,10.250081
587725489988370686,256.29527335,58.69479994,18.255413,17.041553,16.500492,16.110033,15.937383,1336,40,1,51,9.084104
587725490522751227,252.5266015,64.0847513,18.00359,16.379004,15.674873,15.250224,14.941366,1336,40,2,13,9.601683
587725490522947701,252.96086432,63.7145831,16.014767,14.483649,13.830824,13.50317,13.300012,1336,40,2,16,21.201803
587725490525438045,257.33004971,58.47112025,18.237652,16.707355,16.08259,15.756617,15.658962,1336,40,2,54,11.130469
587725490525503670,257.51362306,58.2719984,19.625668,17.797436,16.988855,16.567032,16.242601,1336,40,2,55,7.300438
587725490527862986,260.34821803,53.14962972,17.614717,16.434528,16.02545,15.842824,15.785281,1336,40,2,91,14.332696
587725490527994058,260.64911957,52.99068316,18.817402,17.080204,16.209471,15.743578,15.379745,1336,40,2,93,7.280278
587725505557037212,258.91163424,60.63504449,18.983341,17.579714,16.797344,16.377531,16.101603,1339,40,6,42,6.173209
587725575885750485,255.79102696,65.45647837,19.669226,17.721127,16.685305,16.156425,15.72388,1356,40,1,21,6.594599
587725575886274642,256.76091911,64.32598594,17.183867,15.89548,15.243995,14.896438,14.674703,1356,40,1,29,13.88108
587725575886405896,256.91669282,63.98670235,19.607502,17.714573,16.947853,16.558411,16.295822,1356,40,1,31,10.180026
587725575886733399,257.71937005,63.35270973,18.609911,16.505135,15.6925,15.262446,14.931994,1356,40,1,36,18.743395
587725590921019712,263.00964035,59.45161184,16.925495,15.640257,15.05082,14.708719,14.464377,1359,40,5,65,19.326622
587725590921937245,264.23007125,57.46219935,18.572355,16.8873,16.076468,15.665612,15.343222,1359,40,5,79,8.24535
587725816422400138,227.35076036,59.48783297,18.781004,17.420589,16.745794,16.368839,16.117687,1412,40,1,303,6.348724
587725816424235062,233.51882011,56.6906051,15.666904,14.089892,13.411241,13.445887,13.390647,1412,40,1,331,106.712891
587725816425087137,235.98519481,55.42441991,18.029938,16.717657,16.068653,15.715556,15.472211,1412,40,1,344,8.801456
587725816427184277,241.26537922,51.85012832,18.142744,16.857487,16.133335,15.751699,15.505845,1412,40,1,376,7.798891
587725816958156901,223.81412408,61.35428893,18.996981,17.451513,16.765324,16.315981,15.984291,1412,40,2,286,5.641034
587725816960712788,232.65613211,57.66040392,19.539392,17.924631,17.092516,16.660454,16.397223,1412,40,2,325,9.408893
587725816961171597,234.23492604,56.9678149,18.685568,17.312132,16.629482,16.254389,15.958713,1412,40,2,332,9.253791
587725816961171600,234.19282452,56.93341611,17.136784,15.79171,15.208095,14.868256,14.635464,1412,40,2,332,16.689972
587725816962285761,237.31440677,55.02023975,18.981401,17.644415,16.88829,16.498558,16.212353,1412,40,2,349,6.308044
587725818033209513,229.76755371,60.26974028,18.317226,17.187805,16.790359,16.512068,16.350485,1412,40,4,306,8.074458
587725818570735880,232.59702867,59.50308945,17.561863,16.129948,15.449896,15.049552,14.784129,1412,40,5,316,14.917567
587725818572570913,238.15613392,56.43633957,20.162966,18.595642,17.791012,17.302366,16.94438,1412,40,5,344,5.616447
587725818572832893,238.61093926,56.03788992,17.070606,15.755502,15.187694,14.869477,14.689987,1412,40,5,348,27.922697
587725818575388801,244.97292172,51.54651774,17.793215,15.864393,15.022955,14.619289,14.294655,1412,40,5,387,43.770035
587725819105050732,223.46304556,63.49074094,19.306351,18.139402,17.392277,16.987211,16.687346,1412,40,6,277,6.300947
587725819105378491,224.89199368,62.97408463,19.871534,18.138088,17.308073,16.848072,16.473236,1412,40,6,282,5.959769
587725819105575027,225.61749431,62.73496222,19.448057,17.929537,17.255808,16.801081,16.539909,1412,40,6,285,6.696859
587725819109441741,238.62245867,56.69511847,17.419767,16.068293,15.58247,15.332816,15.262732,1412,40,6,344,16.863539
587725992499085659,246.57224536,47.29252008,20.750183,18.445992,17.35638,16.786686,16.330666,1453,40,1,44,7.455408
587725992499806497,247.99813974,45.97219491,18.157337,17.015108,16.540724,16.220472,16.030243,1453,40,1,55,8.338429
587725992500199478,248.69170345,45.32431812,16.388229,14.988878,14.340051,14.048518,13.789672,1453,40,1,61,21.929218
587725992500265309,248.88154774,45.21152194,20.189648,18.311224,17.427805,16.888313,16.570976,1453,40,1,62,18.016973
587725992501772478,251.44975672,42.30684112,19.992086,18.157385,17.150217,16.628641,16.224991,1453,40,1,85,7.263931
587725993040347478,254.4716437,39.09773663,18.881998,17.796202,17.059763,16.623884,16.310993,1453,40,2,111,6.60218
587725993040740590,255.07441857,38.39275222,17.255169,15.951118,15.457234,15.162675,14.929739,1453,40,2,117,9.536382
587725993577545914,255.41546792,38.75042986,18.080023,16.797594,16.303429,16.026396,15.867548,1453,40,3,116,8.790009
