objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
587724198821626025,31.61534691,13.66463361,18.425713,16.805138,16.012432,15.568329,15.280252,1035,40,4,170,18.618925
587724198821691536,31.69496426,13.58348415,20.626213,18.832792,17.840101,17.285561,16.876776,1035,40,4,171,5.825372
587724199350894753,13.75829591,15.26695765,18.385071,17.211975,16.598824,16.205996,15.988083,1035,40,5,54,5.93843
587724199353122931,18.96499449,15.19670769,19.227663,16.99608,15.847627,15.18655,14.675646,1035,40,5,88,10.120194
587724199353319602,19.56118165,15.09875961,18.371483,16.560926,15.729716,15.203703,14.82162,1035,40,5,91,27.415184
587724199355809909,25.32669375,14.58902642,19.9475,18.523342,17.63899,17.130548,16.790829,1035,40,5,129,7.763378
587724199357055083,28.23218401,14.42737643,20.483721,18.511433,17.41942,16.898645,16.452417,1035,40,5,148,6.757969
587724199358824662,32.48322909,13.93482812,18.15341,16.830717,16.238701,15.872491,15.661014,1035,40,5,175,8.244669
587724199887044764,12.1147565,15.77967162,18.266266,16.852251,16.156565,15.781084,15.512162,1035,40,6,43,10.191217
587724199895564295,32.1040761,14.34956218,15.302308,13.64974,12.85905,12.46442,12.204965,1035,40,6,173,21.065897
587724231564918985,12.34583672,13.93359986,19.421207,18.243963,17.779716,17.521305,17.311049,1043,40,1,81,9.948185
587724241767301229,50.41658156,-6.63561364,17.02681,15.594367,14.87098,14.468863,14.178268,1045,40,4,109,12.239245
587724241768612026,53.41958583,-6.35655466,18.776005,17.321873,16.525431,16.115225,15.798496,1045,40,4,129,9.035707
587724241769070690,54.49527562,-6.27062685,15.827803,14.410162,13.706549,13.300354,12.733952,1045,40,4,136,29.029688
587724241769267452,54.83026256,-6.10192522,19.532236,18.189779,17.511137,17.112904,16.894596,1045,40,4,139,11.308304
587724241769463871,55.32371275,-6.10451608,17.077662,15.765406,15.13722,14.766304,14.485657,1045,40,4,142,14.998552
587724241769660694,55.70884346,-5.97599285,20.070574,18.500401,17.639612,17.206911,16.880873,1045,40,4,145,8.10994
587724242298011717,36.17565313,-7.94687911,16.64629,15.033751,14.283433,13.918383,13.684811,1045,40,5,15,14.345542
587724242299060254,38.70183238,-7.68356555,15.314463,14.021441,13.463889,13.206775,13.021143,1045,40,5,31,23.989222
587724242299191393,38.97709426,-7.50562297,18.807377,17.494434,16.950249,16.622326,16.354877,1045,40,5,33,12.827984
587724242303058069,47.75576234,-6.53346027,18.04962,16.322481,15.444197,15.019224,14.692953,1045,40,5,92,12.798457
587724242303844610,49.59209337,-6.43498405,20.73686,19.060677,17.912102,17.422937,17.098579,1045,40,5,104,5.954109
587724242303975508,49.83819268,-6.40302018,17.721991,16.368061,15.661512,15.259526,14.963189,1045,40,5,106,11.849507
587724242304565362,51.29824824,-6.18096751,15.616816,14.175576,13.440504,13.063513,12.806563,1045,40,5,115,19.059227
587724242836783445,40.56012253,-6.99575115,19.662621,18.242487,17.579721,17.14286,16.853825,1045,40,6,44,11.243011
587724242840322095,48.5615341,-6.08639955,16.640816,15.155995,14.42861,14.07233,13.842629,1045,40,6,98,18.205683
587724242841305270,50.95616682,-5.85958684,18.2143,16.935625,16.406242,16.126581,15.91767,1045,40,6,113,27.925213
587724242841501700,51.25701695,-5.74579579,15.401424,13.329564,12.448228,11.954803,11.596487,1045,40,6,116,37.383919
587724242842943675,54.66318098,-5.34734837,16.172758,14.692147,13.99088,13.588295,13.316574,1045,40,6,138,26.09808
587724242843336909,55.49810589,-5.18053649,19.458506,17.684212,16.913675,16.360767,15.917139,1045,40,6,144,10.970268
587725469588979909,117.17439617,38.48443869,19.270332,18.016596,17.450535,17.110399,16.932009,1331,40,3,77,7.070387
587725469589635379,118.22027424,39.82165279,19.173178,17.970177,17.52113,17.227077,17.022057,1331,40,3,87,9.602586
587725469591863635,122.36345859,43.9349234,17.128687,15.374953,14.500983,14.074086,13.688059,1331,40,3,121,11.572391
587725469592781143,124.15776612,45.58488398,19.960009,18.534609,17.71843,17.309849,17.008886,1331,40,3,135,5.908443
587725469593174252,124.74070042,46.35626655,18.632923,17.151587,16.240917,15.805326,15.503975,1331,40,3,141,11.210062
587725469593632945,125.72697974,47.11524229,19.33676,17.958944,17.218454,16.628929,16.520216,1331,40,3,148,5.667147
587725469594746897,128.22346837,49.01358304,20.292213,18.528362,17.616642,17.045937,16.714918,1331,40,3,165,7.244702
587725469595140212,129.06758073,49.84450584,18.654966,17.329302,16.626051,16.210962,15.841238,1331,40,3,171,11.230327
587725469596319914,131.96993725,51.7100606,19.535885,18.279642,17.501671,17.073757,16.769598,1331,40,3,189,5.744512
587725469597302968,134.47927272,53.35885539,18.15159,16.779144,16.08345,15.739371,15.465486,1331,40,3,204,9.99579
587725469600448626,144.20588688,57.99210732,16.810814,15.546632,14.90459,14.578507,14.28315,1331,40,3,252,11.599858
587725469601104018,146.63289358,58.90318573,19.005859,17.700808,17.081621,16.744638,16.541143,1331,40,3,262,6.976429
