objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
587722981748965622,200.33697582,-1.10273977,20.71072,18.529903,17.428913,16.832603,16.35108,752,40,1,379,5.576238
587722981752897881,209.2424093,-1.10171249,18.575251,17.353559,16.895596,16.632238,16.578129,752,40,1,439,18.23613
587722982285574282,199.65503236,-0.7074687,18.197426,16.955708,16.296236,15.898094,15.627627,752,40,2,375,9.26383
587722982285705416,200.01023122,-0.80811135,19.404713,18.192123,17.58082,17.148342,16.945539,752,40,2,377,8.588424
587722982291210436,212.54201514,-0.75177289,18.427626,17.109299,16.497257,16.128893,15.879732,752,40,2,461,8.879479
587722982291538119,213.302863,-0.75219055,17.967443,16.541563,15.828954,15.415419,15.125709,752,40,2,466,8.614748
587722982293176496,217.04387462,-0.68460688,18.323856,16.40823,15.382072,14.838243,14.367589,752,40,2,491,13.660519
587722982294421792,219.90497483,-0.77036798,19.729618,17.710835,16.73583,16.151758,15.722329,752,40,2,510,8.919662
587722982817529962,188.53689318,-0.35529603,16.247869,14.640018,13.973109,13.626856,13.352638,752,40,3,300,16.440767
587722982818578564,190.85380235,-0.25574711,18.586271,17.255573,16.522009,16.150122,15.843703,752,40,3,316,7.774176
587722982822904063,200.82639675,-0.25242037,19.758829,18.345648,17.631958,17.210335,16.839466,752,40,3,382,5.551362
587722982825656587,207.08483133,-0.36988577,18.972443,17.355743,16.568356,16.148001,15.861655,752,40,3,424,7.098172
587722982826573968,209.11539304,-0.37312183,18.861927,17.424212,16.725849,16.330711,16.083244,752,40,3,438,9.406659
587722982827622551,211.50593527,-0.31055397,16.43491,15.073451,14.476181,14.164701,13.97914,752,40,3,454,18.851498
587722982827688157,211.73315412,-0.3743414,18.906586,17.713655,17.049921,16.695486,16.489676,752,40,3,455,8.217154
587722982828081392,212.54004722,-0.28334105,19.721292,18.363045,17.769533,17.428398,17.178183,752,40,3,461,6.64942
587722982829981942,216.88216861,-0.29013127,17.436232,16.118618,15.502093,15.186556,14.9635,752,40,3,490,12.053658
587722982829981962,216.89578889,-0.27756493,18.930185,17.390593,16.62149,16.216024,15.858332,752,40,3,490,9.303994
587722982830375059,217.74366722,-0.30306246,18.42992,16.524607,15.595939,15.173768,14.860909,752,40,3,496,9.555889
587722982830899565,219.03756594,-0.28564625,18.836252,17.58256,16.803686,16.448639,16.131937,752,40,3,504,8.590131
587722982831292760,219.97318545,-0.36250315,19.945665,18.534233,17.8304,17.384312,17.135418,752,40,3,510,6.489694
587722983358857372,198.59937464,0.03378615,19.294153,18.185951,17.569881,17.207771,17.004444,752,40,4,368,4.959132
587722983360430255,202.20470864,0.04950572,17.795338,16.049791,15.25636,14.88969,14.613132,752,40,4,392,20.697367
