objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
587722981733630021,165.34170104,-1.14025291,17.842772,15.747084,14.748342,14.297749,13.971198,752,40,1,145,14.582013
587722981735268461,168.94866635,-1.10952624,20.001593,18.1541,17.058182,16.548647,16.182972,752,40,1,170,5.619455
587722981736644729,172.15072635,-1.21468272,19.665314,17.622482,16.566399,16.107864,15.745424,752,40,1,191,6.000602
587722981738414167,176.14189154,-1.13909079,18.531828,16.517017,15.574178,15.109306,14.749352,752,40,1,218,7.428562
587722981738807434,177.15497546,-1.2128314,18.491556,16.461557,15.425347,14.973703,14.580376,752,40,1,224,6.942362
587722981740249191,180.45402199,-1.13405986,19.080166,17.236538,16.225084,15.78009,15.455695,752,40,1,246,7.969512
587722981740314719,180.61572071,-1.132541,18.337183,16.387522,15.408776,14.933784,14.606804,752,40,1,247,8.489237
587722982271352965,167.25723643,-0.81672851,18.263578,16.394815,15.534812,15.112131,14.769471,752,40,2,158,5.180975
587722982271418495,167.38524753,-0.68436286,18.40283,16.470589,15.532734,15.095278,14.750446,752,40,2,159,8.810593
587722982271549509,167.62211697,-0.71683808,18.138943,16.258942,15.331457,14.876912,14.540235,752,40,2,161,6.441969
587722982271549571,167.73915721,-0.82526785,19.028681,16.969475,15.912346,15.448395,15.046733,752,40,2,161,6.437984
587722982272532588,169.89137685,-0.63772992,20.161379,18.087313,17.162176,16.708488,16.384068,752,40,2,176,4.686843
587722982272598133,170.09847818,-0.79993879,17.652912,15.654881,14.727482,14.279271,13.916689,752,40,2,177,9.052986
587722982272925748,170.86241725,-0.71355495,17.09638,15.942498,15.420241,15.088023,14.853501,752,40,2,182,6.434447
587722982274760777,175.02670566,-0.83774235,16.736845,14.884882,14.082422,13.663416,13.321244,752,40,2,210,10.389867
587722982275612857,177.01176259,-0.68451803,19.651478,18.070147,17.263855,16.838003,16.589851,752,40,2,223,3.434965
587722982277513270,181.3133436,-0.75026279,18.468843,16.469063,15.485369,15.066661,14.712253,752,40,2,252,12.235174
587722982807896069,166.40822881,-0.21741762,17.431797,15.512456,14.64728,14.227262,13.903819,752,40,3,153,6.285892
587722982808158312,167.06679312,-0.26587805,19.723446,17.701576,16.809689,16.35322,16.004686,752,40,3,157,4.297363
587722982808289387,167.31011073,-0.24006709,19.654007,17.619682,16.584309,16.127178,15.723129,752,40,3,159,6.847637
587722982808748226,168.4778263,-0.2654423,19.250471,17.240446,16.155159,15.677525,15.248954,752,40,3,166,6.446418
587722982809600068,170.33158577,-0.23107723,20.10527,18.178329,17.194988,16.762495,16.403608,752,40,3,179,4.812069
587722982809796673,170.76011979,-0.22877622,19.894787,17.944153,16.830984,16.3629,16.004128,752,40,3,182,5.460351
587722982809927801,171.07215113,-0.30705189,19.716967,17.786009,16.622095,16.158136,15.807965,752,40,3,184,7.189691
