objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
587726877268574366,325.91213214,-8.72320575,18.63928,16.976425,16.244131,15.880998,15.563847,1659,40,1,139,6.152856
587726877268705613,326.20545795,-8.73678722,17.614882,15.721021,14.86377,14.451564,14.14539,1659,40,1,141,9.733989
587726877268771108,326.30178487,-8.71137156,20.589266,18.651653,17.553194,17.107864,16.732548,1659,40,1,142,2.951452
587726877270671564,330.63881536,-9.29209185,17.485319,15.55794,14.682116,14.252675,13.921493,1659,40,1,171,11.29762
587726877270737141,330.83140022,-9.14814801,20.815704,18.068642,16.953075,16.460342,16.099155,1659,40,1,172,5.896018
587726877271457954,332.41873647,-9.43016092,18.24387,16.255148,15.328523,14.883046,14.533211,1659,40,1,183,6.644287
587726877271982302,333.75890859,-9.50575613,19.613762,17.561434,16.615265,16.188761,15.863058,1659,40,1,191,4.371297
587726877275455645,341.70261211,-10.10896373,20.227137,18.260929,17.079288,16.656467,16.254688,1659,40,1,244,5.36942
587726877276438698,344.00965375,-10.31911597,18.634411,16.749138,15.864508,15.445284,15.10743,1659,40,1,259,7.280281
587726877276897346,345.11930711,-10.37934385,17.627684,15.77853,14.909811,14.489493,14.178189,1659,40,1,266,9.37384
587726877277945988,347.44501874,-10.49814669,20.917402,18.774084,17.34271,16.814539,16.446783,1659,40,1,282,6.259789
587726877805314522,325.6358696,-8.39278853,18.503901,16.548847,15.610059,15.178014,14.808428,1659,40,2,137,8.706137
587726877805642041,326.3483408,-8.30665483,19.174866,17.364853,16.356344,15.871484,15.47498,1659,40,2,142,6.760604
587726877805838475,326.80586106,-8.3916306,17.668982,15.728464,14.804472,14.383295,14.036174,1659,40,2,145,11.000964
587726877805904130,326.98447091,-8.38608885,20.347242,17.977262,16.599335,16.077415,15.672884,1659,40,2,146,7.092865
587726877808525452,332.90621666,-9.0584876,19.446798,17.877745,16.874601,16.383574,15.999806,1659,40,2,186,4.890335
587726877808591090,333.13175915,-9.01038142,17.275661,15.337839,14.407158,13.981525,13.635175,1659,40,2,187,11.663044
587726877810426036,337.29826605,-9.33454706,17.501221,15.540876,14.645155,14.204174,13.857039,1659,40,2,215,7.512201
587726877811212468,339.21985583,-9.65203207,18.745987,16.695158,15.670312,15.20833,14.815656,1659,40,2,227,5.125754
587726877813899385,345.40651281,-9.99210768,18.989523,16.889601,15.852394,15.402501,15.030809,1659,40,2,268,6.863222
587726877815603369,349.27842575,-10.21986566,20.559359,18.968025,17.386099,16.79318,16.365839,1659,40,2,294,6.593181
587726878346182733,334.88813025,-8.78098904,19.295439,17.478292,16.609688,16.211494,15.880728,1659,40,3,198,3.623945
587726878346510539,335.58200577,-8.93532114,18.129852,16.107922,15.08643,14.614694,14.255115,1659,40,3,203,11.71987
587726878347493569,337.81246952,-8.98894667,20.392244,18.246416,16.965231,16.448498,16.069885,1659,40,3,218,6.565914
587726878349131787,341.56283606,-9.2413335,20.54871,18.281858,17.081512,16.575647,16.216492,1659,40,3,243,6.549603
587726878351884426,347.97777621,-9.58673851,19.545435,17.493826,16.608059,16.193151,15.851052,1659,40,3,285,4.28299
587726878879318329,326.26187772,-7.48000177,19.68548,17.934235,16.714115,16.186705,15.750807,1659,40,4,141,7.027053
587726878879383803,326.39806273,-7.44135701,20.71483,18.896044,17.551928,17.066175,16.644432,1659,40,4,142,5.072633
587726878879645765,326.97900646,-7.63163303,20.999283,18.811531,17.170471,16.576262,16.210127,1659,40,4,146,7.358149
587726878880628812,329.25716501,-7.83959248,17.039171,15.07289,14.165821,13.728159,13.376542,1659,40,4,161,15.252325
587726878880629199,329.33922636,-7.81302942,18.17305,16.293571,15.413781,14.994745,14.660836,1659,40,4,161,8.304024
587726878880694306,329.38947745,-7.79423305,17.568813,15.601547,14.69393,14.260917,13.923103,1659,40,4,162,9.226873
587726878880760089,329.53127967,-7.92928392,17.834021,15.966732,15.053434,14.595061,14.228434,1659,40,4,163,9.489583
587726878881611947,331.59113083,-8.08996783,16.323221,14.499349,13.750475,13.379884,13.084906,1659,40,4,176,13.55453
587726878882398349,333.30232609,-8.14297005,20.687304,18.558414,17.491085,17.04369,16.727175,1659,40,4,188,3.892026
587726878884167791,337.39854016,-8.47627885,18.831627,16.814562,15.781803,15.315183,14.928627,1659,40,4,215,7.344915
587726878884495479,338.11191739,-8.70219358,18.747747,16.89908,15.955768,15.525763,15.174225,1659,40,4,220,5.587416
587726878885019889,339.42074293,-8.63075511,20.559196,18.2908,17.139441,16.668873,16.259068,1659,40,4,228,5.201461
587726878888034439,346.27478779,-9.22038716,19.957336,18.360285,17.106886,16.58938,16.238508,1659,40,4,274,4.541637
